"","X","LOCATION","SHELTER_ID","the_geom","AT_BETWEEN","LONGITUDE","LATITUDE","zipcode"
"366",1856,"FT WASHINGTON AV","MN01494","POINT (-73.943718 40.838823)","W 164 ST",-73.943718,40.838823,10032
"367",1857,"5 Av","MN01495","POINT (-73.984089 40.749297)","W 35 St",-73.984089,40.749297,10018
"368",1858,"5 Av","MN01498","POINT (-73.982689 40.751218)","W 38 St",-73.982689,40.751218,10018
"369",1859,"5 Av","MN01499","POINT (-73.982477 40.751433)","W 39 St",-73.982477,40.751433,10018
"370",1860,"3 AV","MN0150","POINT (-73.980058 40.742831)","E 29 ST",-73.980058,40.742831,10016
"371",1861,"5 Av","MN01500","POINT (-73.982321 40.751723)","W 39 St",-73.982321,40.751723,10018
"372",1862,"5 Av","MN01503","POINT (-73.980251 40.754563)","W 44 St",-73.980251,40.754563,10036
"373",1863,"5 Av","MN01504","POINT (-73.978119 40.757474)","W 48 St",-73.978119,40.757474,10020
"374",1864,"5 Av","MN01506","POINT (-73.977636 40.75814200000001)","W 49 St",-73.977636,40.758142,10112
"375",1865,"5 Av","MN01512","POINT (-73.976579 40.759586)","W 52 St",-73.976579,40.759586,10019
"376",1866,"5 Av","MN01514","POINT (-73.976147 40.760184)","W 52 St",-73.976147,40.760184,10019
"377",1867,"5 Av","MN01515","POINT (-73.975372 40.76126300000001)","W 54 St",-73.975372,40.761263,10019
"378",1868,"5 Av","MN01519","POINT (-73.973849 40.763348)","W 58 St",-73.973849,40.763348,10019
"379",1869,"E 34 ST","MN0153","POINT (-73.97844 40.745956)","3 AV",-73.97844,40.745956,10016
"380",1870,"E 23 ST","MN01534","POINT (-73.988707 40.741062)","BROADWAY",-73.988707,40.741062,10010
"381",1871,"5 Av","MN01536","POINT (-73.97952 40.75557)","W 45 St",-73.97952,40.75557,10036
"382",1872,"5 Av","MN01537","POINT (-73.979282 40.755899)","W 46 St",-73.979282,40.755899,10036
"383",1873,"3 AV","MN0154","POINT (-73.976369 40.747903)","E 37 ST",-73.976369,40.747903,10016
"384",1874,"BROADWAY","MN01548","POINT (-73.95863400000002 40.814858)","TIEMANN PL",-73.958634,40.814858,10027
"385",1875,"MADISON ST","MN01549","POINT (-73.997305 40.712109)","CATHERINE ST",-73.997305,40.712109,10038
"386",1876,"BROADWAY","MN01550","POINT (-73.928553 40.864723)","ARDEN ST",-73.928553,40.864723,10040
"387",1877,"W 50 ST","MN01554","POINT (-73.983598 40.76117500000001)","7 AV",-73.983598,40.761175,10019
"388",1878,"3 AV","MN01559","POINT (-73.968088 40.759231)","E 55 ST",-73.968088,40.759231,10022
"389",1879,"MADISON ST","MN01561","POINT (-73.982304 40.713462)","JACKSON ST",-73.982304,40.713462,10002
"390",1880,"5 AV","MN01562","POINT (-73.936259 40.814448)","E 138 ST",-73.936259,40.814448,10037
"391",1881,"FREDERICK DOUGLASS BLVD","MN01563","POINT (-73.950838 40.810443)","W 125 ST",-73.950838,40.810443,10019
"392",1882,"E 34 ST","MN01564","POINT (-73.973823 40.74380300000001)","1 AV",-73.973823,40.743803,10016
"393",1883,"E 34 ST","MN01565","POINT (-73.973885 40.744049)","1 AV",-73.973885,40.744049,10016
"394",1884,"MAIN ROADWAY","MN01569","POINT (-73.923455 40.79251)","Opp Icahn Stadium",-73.923455,40.79251,10035
"395",1885,"SPRING ST","MN01570","POINT (-74.008864 40.725913)","GREENWICH ST",-74.008864,40.725913,10013
"396",1886,"W 110 ST","MN01571","POINT (-73.961366 40.802019)","MORNINSIDE DR",-73.961366,40.802019,10025
"397",1887,"GRAND ST","MN01573","POINT (-73.986389 40.715732)","CLINTON ST",-73.986389,40.715732,10002
"398",1888,"2 AV","MN01575","POINT (-73.945105 40.787229)","E 100 ST",-73.945105,40.787229,10029
"399",1889,"1 AV","MN01576","POINT (-73.982035 40.731866)","E 15 ST",-73.982035,40.731866,10003
"400",1890,"CENTRAL PARK WEST","MN01577","POINT (-73.96318300000001 40.793959)","W 100 ST",-73.963183,40.793959,10025
"401",1891,"AMSTERDAM AV","MN01578","POINT (-73.951165 40.820559)","W 138 ST",-73.951165,40.820559,10031
"402",1892,"FT WASHINGTON AV","MN01579","POINT (-73.942848 40.840486)","W 165 ST",-73.942848,40.840486,10032
