"","Premises.Name","Doing.Business.As..DBA.","Actual.Address.of.Premises..Address1.","Additional.Address.Information..Address2.","City","State","Zip","Latitude","Longitude","Location"
"868","75TH & 3RD CORP","BISTRO LESTEAK","1309 3RD AVENUE","EAST 74TH & E 75TH STREETS","NEW YORK","NY",10021,40.77164349,-73.9591224,"(40.77164349, -73.9591224)"
"869","TRUMP RESTAURANTS LLC","","725 5TH AVENUE","56TH   & 57TH STREETS","NEW YORK","NY",10022,40.76247197,-73.97424277,"(40.76247197, -73.97424277)"
"870","ZMF RESTAURANTS LLC","WOLFGANG'S STEAKHOUSE","4 PARK AVE","33 & 34 STREETS","NEW YORK","NY",10016,40.7465344,-73.98195915,"(40.7465344, -73.98195915)"
"871","LIBERTY KNIGHTS LLC","POUND & PENCE","55 LIBERTY STREET","BROADWAY & NASSAU","NEW YORK","NY",10005,40.70870057,-74.00942862,"(40.70870057, -74.00942862)"
"872","TRUMP RESTAURANTS LLC","","725 FIFTH AVENUE","56TH & 57TH STREETS - LOBBY","NEW YORK","NY",10022,40.76249879,-73.97430578,"(40.76249879, -73.97430578)"
"873","MCCORMICK & SCHMICK RESTAURANT CORP","MASTRO'S STEAKHOUSE","1285 AVENUE OF THE AMERICAS","51ST &  52ND STREETS","NEW YORK","NY",10019,40.76070483,-73.97989374,"(40.76070483, -73.97989374)"
"874","LITTLE BARQUE LLC","MAS","37 41 DOWNING ST","BEDFORD  ST & 11TH AVE VARICK","NEW YORK","NY",10014,40.72942124,-74.00355718,"(40.72942124, -74.00355718)"
"875","NEW LOUNGE 4324 LLC","BOUNCE SPORTING CLUB","55 WEST 21ST STREET","5TH  AVENUE & 6TH AVENUE","NEW YORK","NY",10010,40.74107961,-73.9922925,"(40.74107961, -73.9922925)"
"876","MASA NY LLC","","10 COLUMBUS CIRCLE","SPACE 401","NEW YORK","NY",10019,40.76816382,-73.98238257,"(40.76816382, -73.98238257)"
"877","MAMA BAR LLC","MAMA'S FOOD SHOP","34 AVENUE B","3RD & 2ND STREET","NEW YORK","NY",10009,40.7225986,-73.98308159,"(40.7225986, -73.98308159)"
"878","THE LOCAL LLC","THE SPOTTED PIG","314 W 11TH STREET","HUDSON ST & GREENWICH STREET","NEW YORK","NY",10014,40.73567228,-74.00675378,"(40.73567228, -74.00675378)"
"879","BIG BOWL LLC","FRAMES","625 8TH AVE","2ND FLOOR","NEW YORK","NY",10018,40.75610018,-73.99067169,"(40.75610018, -73.99067169)"
"880","412 AMSTERDAM CORP","BETTOLA","412 AMSTERDAM AVE","","NEW YORK","NY",10024,40.78370947,-73.97798585,"(40.78370947, -73.97798585)"
"881","44TH ST NYC INC","OVERLOOK LOUNGE","225 E 44TH STREET","2ND & 3RD AVENUES","NEW YORK","NY",10017,40.7518738,-73.97286786,"(40.7518738, -73.97286786)"
"882","JEREMY'S ALE HOUSE STILL INC","JEREMY'S ALE HOUSE","228 FRONT ST","PECK SLIP & BEEKMAN STREET","NEW YORK","NY",10038,40.70762789,-74.00204209,"(40.70762789, -74.00204209)"
"883","CHIPOTLE MEXICAN GRILL OF COLORADO LLC","CHIPOTLE MEXICAN GRILL","150 E 52ND ST","LEXINGTON & 3RD AVE","NEW YORK","NY",10022,40.75755458,-73.9711757,"(40.75755458, -73.9711757)"
"884","REMEDY BAR GROUP LLC","TWO DOOR TAVERN NYC","1576 3RD AVE","EAST 89TH  ST & E 90TH ST","NEW YORK","NY",10128,40.78041458,-73.9528765,"(40.78041458, -73.9528765)"
"885","PARME RESTAURANT CORP","LA BOITE EN BOIS","75 WEST 68TH ST","WEST 68TH  & 69TH STS","NEW YORK","NY",10023,40.77457774,-73.97986862,"(40.77457774, -73.97986862)"
"886","CHIPOTLE MEXICAN GRILL OF COLORADO LLC","CHIPOTLE MEXICAN GRILL","2 BROADWAY","BROADWAY & STONE","NEW YORK","NY",10004,40.7040795,-74.01310999,"(40.7040795, -74.01310999)"
"887","BARBUTO LLC","","771 775 WASHINGTON STREET","WEST 12TH & JANE","NEW YORK","NY",10014,40.737788,-74.00810049,"(40.737788, -74.00810049)"
"888","MARISCO CENTRO REST INC","MARISCO CENTRO","1490 ST NICHOLAS AVENUE","184TH & 184TH STREETS","NEW YORK","NY",10033,40.85146443,-73.93206622,"(40.85146443, -73.93206622)"
"889","WOGIE'S INC","","39 GREENWICH AVENUE","CHARLES & PERRY STREETS","NEW YORK","NY",10014,40.73528702,-74.00040725,"(40.73528702, -74.00040725)"
"890","363 WEST 46TH STREET TAVERN INC","HOUSE OF BREWS","363 W 46TH ST","8TH AVENUE & 9TH AVENUE","NEW YORK","NY",10036,40.76058234,-73.98965019,"(40.76058234, -73.98965019)"
"891","106 NORFOLK STREET LLC","LULU'S","106 NORFOLK ST - NORTH STORE","DELANCEY & RIVINGTON","NEW YORK","NY",10002,40.71863035,-73.98714908,"(40.71863035, -73.98714908)"
"892","BRANDY LIBRARY LOUNGE LLC","THE BRANDY LIBRARY","25 NORTH MOORE STREET 1A","VARICH & HUDSON","NEW YORK","NY",10013,40.71987057,-74.00735126,"(40.71987057, -74.00735126)"
"893","K INTERNATIONAL TRADING INC","PIATTO D'ORO","347 E 109TH ST","1ST & 2ND AVENUES","NEW YORK","NY",10029,40.79229317,-73.94040943,"(40.79229317, -73.94040943)"
"894","SERAFINA BROADWAY LTD","SERAFINA BROADWAY","210 W 55TH ST","CELLAR & GROUND FLOOR","NEW YORK","NY",10019,40.76451926,-73.98162981,"(40.76451926, -73.98162981)"
"895","LET'S EAT LLC","EXTRA VIRGIN","259 W 4TH STREET STORE#1","CHARLES AND PERRY STREETS","NEW YORK","NY",10014,40.73536886,-74.00321232,"(40.73536886, -74.00321232)"
"896","SHOMARA INC","MOJITOS","227 EAST 116TH STREET","2ND & 3RD AVENUES","NEW YORK","NY",10029,40.79772324,-73.93936522,"(40.79772324, -73.93936522)"
"897","BYO CO (USA) LTD","EN","435 HUDSON ST AKA 72 76 MORTON","CRN OF LEROY STREET","NEW YORK","NY",10014,40.73061634,-74.0068577,"(40.73061634, -74.0068577)"
"898","FT SEVENTH AVE LLC","BAR VELOCE","176 7TH AVENUE","CHARLTON ST & VANDAM STREET","NEW YORK","NY",10003,40.74247902,-73.99690331,"(40.74247902, -73.99690331)"
"899","CANTALOUPE LLC","LOVELY DAY","196 ELIZABETH STREET","PRINCE & SPRING STREETS","NEW YORK","NY",10010,40.72176569,-73.99443371,"(40.72176569, -73.99443371)"
"900","PEREGRINE ENTERPRISES INC","RICK'S CABARET","50 W 33RD ST 1ST MEZZ & 2ND FL","5TH AVENUE & BROADWAY","NEW YORK","NY",10001,40.74834449,-73.98655881,"(40.74834449, -73.98655881)"
"901","TENZAN NEW YORK CORP","","285 COLUMBUS AVENUE","73RD & 74TH STREET","NEW YORK","NY",10023,40.77821599,-73.97810837,"(40.77821599, -73.97810837)"
"902","CRIF DOGS ENTERPRISES INC","CRIF DOGS","113 ST MARKS PLACE","AVENUE A & 1ST AVENUE","NEW YORK","NY",10009,40.72739565,-73.98468988,"(40.72739565, -73.98468988)"
"903","AUNT PAUL INC","TIA POL","205 10TH AVE","22ND & 23RD STREETS","NEW YORK","NY",10011,40.74718498,-74.00459647,"(40.74718498, -74.00459647)"
"904","CHERRY LANE INC","THE RANDOLPH AT BROOME","349 BROOME ST","BOWERY & ELIZABETH","NEW YORK","NY",10013,40.71969408,-73.9950102,"(40.71969408, -73.9950102)"
"905","J & K RES ENTERPRISES INC","UKRAINIAN EAST VILLAGE RESTAURANT AND SLY FOX BAR","140 142 2ND AVENUE","MAIN FLOOR","NEW YORK","NY",10003,40.72902683,-73.98728535,"(40.72902683, -73.98728535)"
"906","MENDARED LLC","LE SOUK HAREM","510 LA GUARDIA PLACE","BLEECKER & HOUSTON STREETS","NEW YORK","NY",10012,40.72776779,-73.99927918,"(40.72776779, -73.99927918)"
"907","FREEMAN HOLDINGS LLC","FREEMANS","191 CHRYSTIE ST","AKA 2 FREEMAN ALLEY","NEW YORK","NY",10002,40.72173419,-73.99194468,"(40.72173419, -73.99194468)"
"908","G & G CAFE INC","MCKEOWN'S","1303 3RD AVENUE","74TH & 75TH STREETS","NEW YORK","NY",10021,40.7714636,-73.95925186,"(40.7714636, -73.95925186)"
"909","757 REST LLC","ROGUE RESTAURANT AND BAR","757 6TH AVENUE","CHELSEA TOWER 100TH W 26TH ST","NEW YORK","NY",10010,40.74428306,-73.99186782,"(40.74428306, -73.99186782)"
"910","BATTERY WAVE LLC","BATTERY GARDENS","17 STATE ST","OPPOSITE","NEW YORK","NY",10004,40.70299703,-74.0143935,"(40.70299703, -74.0143935)"
"911","IP TRADING LLC","CAVIAR RUSSE","538 MADISON AVE 2ND FLOOR","54TH AND 55TH STREETS","NEW YORK","NY",10022,40.76062372,-73.97365028,"(40.76062372, -73.97365028)"
