"RegionName","City","State","Metro","CountyName","SizeRank","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12"
"89074","Henderson","NV","Las Vegas","Clark",68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1637.5,1650,1510,1650,1587.5,1724.5,1750,1750,1725,1700,1750,1795,1799,1600,1600,1750,1795
"92562","Murrieta","CA","Riverside","Riverside",68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2197.5,2300,2300,2225,2150,2272.5,2299.5,2200,2200,2150,2199,2300
"02135","Boston","MA","Boston","Suffolk",70,2600,2600,2600,2600,2550,2500,2500,2500,2550,2600,2700,2725,2700,2650,2650,2700,2750,2700,2700,2667.5,2800,2800,2800,2800,2800,2900,2950,2950,3000,3100,3000,3000,3000,2950,2950,2950,2982.5,3000,3000,3100,3150,3100,3100,3100,3200,3100,3200,3200,3200,3100,3137.5,3200,3200,3100,3100,3100,3050,3000,3050,3100,3200,3200,3200,3300,3300,3300,3300,3200,3200,3200,3200,3174.5,3400,3400,3400,3400,3400,3400,3400,3400,3400,3345,3400,3400
"89147","Las Vegas","NV","Las Vegas","Clark",71,,,,,,,,,,,,,1300,1300,1300,1350,1350,1350,1350,1350,1350,1300,1300,1300,1300,1325,1350,1495,1450,1400,1322.5,1300,1375,1385,1395,1395,1375,1400,1400,1400,1400,1420,1432.5,1375,1450,1450,1395,1395,1467.5,1425,1400,1450,1467.5,1450,1485,1496.5,1350,1400,1400,1395,1407.5,1500,1600,1535,1495,1600,1530,1395,1450,1487.5,1399,1485,1400,1450,1500,1650,1600,1650,1650,1574,1550,1550,1595,1595
"92130","San Diego","CA","San Diego","San Diego",72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4195,4295,4500,4500,4597,4400,4200,4350,4400,4500,4500,4500
"30144","Kennesaw","GA","Atlanta","Cobb",73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1599.5,1650,1595,1619,1645,1695,1695,1700,1660,1695,1673.5,1660
"78254","San Antonio","TX","San Antonio","Bexar",74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1512.5,1650,1695,1650,1650,1600,1597.5,1650,1725,1650,1600,1562.5
"28540","Jacksonville","NC","Jacksonville","Onslow",75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200,1100,1137.5,1150,1200,1150,1100,1047.5,1025,1050,1025,1050
"92563","Murrieta","CA","Riverside","Riverside",75,,,,,,,1872.5,1972.5,1895,1895,1897.5,1950,1950,1897.5,1900,1900,1900,1900,1850,1850,1850,1850,1895,1895,1900,1895,1895,1895,1900,1900,1900,1900,1900,1900,1900,1895,1899,1895,1875,1895,1962.5,1925,1900,1950,1995,1975,1945,1937.5,1950,1950,1928,1998,2000,2000,2072.5,1999,1995,1995,2097.5,2000,1995,2000,2000,1995,2050,2100,2000,2100,2195,2091,2095,2095,2096,2195,2195,2200,2200,2150,2200,2295,2275,2272.5,2200,2170
"77373","Spring","TX","Houston","Harris",77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1550,1550,1459,1450,1475,1550,1600,1530,1550,1500,1550,1575
"77375","Tomball","TX","Houston","Harris",78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1650,1662.5,1687.5,1675,1800,1950,1995,1872.5,1850,1800,1850,1800,1837.5
"73013","Edmond","OK","Oklahoma City","Oklahoma",79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1595,1547.5,1595,1672.5,1625,1697.5,1695,1660,1595,1547.5,1595,1597.5
"29229","Columbia","SC","Columbia","Richland",80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1350,1350,1350,1397.5,1450,1550,1495,1495,1400,1425,1400,1400
"89148","Las Vegas","NV","Las Vegas","Clark",81,,,,,,,,,,,,,1545,1495,1495,1450,1445,1495,1400,1395,1400,1395,1350,1350,1350,1350,1395,1497.5,1500,1475,1475,1450,1472.5,1450,1395,1400,1397.5,1450,1450,1450,1500,1522.5,1472.5,1500,1500,1450,1450,1450,1495,1450,1472.5,1512,1450,1400,1500,1585,1495,1495,1535,1500,1595,1595,1550,1497.5,1550,1550,1500,1450,1497,1495,1572.5,1500,1575,1632.5,1625,1650,1650,1600,1650,1695,1650,1650,1650,1650
"28546","Jacksonville","NC","Jacksonville","Onslow",82,,,1250,1250,1200,1250,1257,1300,1300,1300,1250,1250,1195,1195,1150,1200,1250,1250,1250,1200,1242,1212.5,1199,1150,1150,1160,1175,1185,1250,1200,1200,1195,1175,1195,1112.5,1100,1100,1095,1085,1100,1200,1200,1200,1200,1197.5,1150,1100,1100,1100,1100,1100,1150,1195,1175,1150,1100,1100,1100,1100,1100,1150,1100,1112.5,1200,1200,1150,1150,1212.5,1100,1200,1100,1050,1100,1147.5,1150,1175,1200,1250,1200,1150,1100,1100,1100,1125
"89129","Las Vegas","NV","Las Vegas","Clark",83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1557.5,1495,1495,1500,1495,1511,1612.5,1500,1495,1600,1600,1550
"30114","Canton","GA","Atlanta","Cherokee",84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1475,1510,1500,1525,1550,1550,1615,1599.5,1587.5,1577.5,1565,1575,1600
"92880","Eastvale","CA","Riverside","Riverside",85,,,,,,,,,,,,,2300,2300,2300,2350,2300,2300,2300,2300,2300,2295,2300,2300,2300,2300,2300,2300,2285,2265,2300,2300,2300,2350,2300,2300,2300,2300,2300,2300,2300,2300,2350,2350,2300,2345,2300,2300,2300,2300,2300,2375,2325,2400,2400,2400,2400,2400,2400,2400,2400,2400,2437.5,2425,2400,2450,2500,2500,2300,2455,2500,2450,2497,2550,2550,2600,2568.5,2550,2550,2572.5,2550,2550,2500,2500
"93312","Bakersfield","CA","Bakersfield","Kern",86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1600,1650,1650,1650,1650,1650,1662.5,1750,1750,1700,1725,1750,1750
"75025","Plano","TX","Dallas-Fort Worth","Collin",87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1925,1970,1900,1900,1950,1950,1995,2022.5,1995,1950,1950,1950,1972.5,1995,2095,2097.5,1995,1995,1999,1995,1950,1995,2000,2095,2000,2100,2150,2200,2100,2147.5,2100,2072,1999.5,2072.5,2000,2000,2100,2100,2150,2200,2146,1995,2100,1995,2075,2150,2100,2195,2250,2200,2197.5,2150,2150,2100,2000,2000
